0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:41 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:41 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:42 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:42 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:42 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:42 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:39:42 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:30 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:30 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:30 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:56 +0700] "GET /DoAnWebCinema/customer/payment/76.htm HTTP/1.1" 200 42345
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:58 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:58 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:58 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:58 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:40:58 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:48:30 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:48:31 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:48:31 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:48:31 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:48:31 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:53:29 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:53:29 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:53:29 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:53:29 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:53:29 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:54:38 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:54:38 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:54:38 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:55:06 +0700] "GET /DoAnWebCinema/customer/payment/71.htm HTTP/1.1" 200 52818
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:55:35 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:55:36 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:55:36 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:55:36 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:12:55:36 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:17:40 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:17:40 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:17:40 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:17:40 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:17:40 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:30:00 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:30:00 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:30:00 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:30:00 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:30:00 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:31:47 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:31:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:31:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:31:47 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:31:47 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:37:21 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:37:21 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:37:21 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:37:21 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:37:21 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:38:53 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82084
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:38:53 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:38:53 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:38:53 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
