127.0.0.1 - - [21/Dec/2024:11:58:47 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:58:49 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:04 +0700] "GET /DoAnWebCinema/datve/2024-12-21.htm?chinhanh=1 HTTP/1.1" 200 22590
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:05 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82209
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:05 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:05 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:09 +0700] "GET /DoAnWebCinema/login.htm HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:09 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:11 +0700] "POST /DoAnWebCinema/login/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:11 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:11 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:11:59:11 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:01 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:01 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:01 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:01 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:01 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:10 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:10 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:10 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:10 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:00:10 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:06 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:06 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:06 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:36 +0700] "GET /DoAnWebCinema/customer/payment/65.htm HTTP/1.1" 200 42144
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:36 +0700] "GET /DoAnWebCinema/css/ghe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:38 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:38 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:38 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:38 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:38 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:58 +0700] "GET /DoAnWebCinema/datve/2024-12-21.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:03:59 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:03 +0700] "GET /DoAnWebCinema/datve/2024-12-23.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:04 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:06 +0700] "GET /DoAnWebCinema/customer/payment/70.htm HTTP/1.1" 200 53009
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:11 +0700] "GET /DoAnWebCinema/customer/payment/73.htm HTTP/1.1" 200 42401
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:15 +0700] "GET /DoAnWebCinema/customer/payment/76.htm HTTP/1.1" 200 42377
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:33 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:36 +0700] "GET /DoAnWebCinema/datve/2024-12-23.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:38 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:47 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:04:59 +0700] "GET /DoAnWebCinema/datve/2024-12-21.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:01 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:39 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:42 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=2 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:43 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=2 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:43 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:44 +0700] "GET /DoAnWebCinema/datve/2024-12-23.htm?chinhanh=2 HTTP/1.1" 200 26180
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:47 +0700] "GET /DoAnWebCinema/datve/2024-12-23.htm?chinhanh=1 HTTP/1.1" 200 26292
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:47 +0700] "GET /DoAnWebCinema/datve/2024-12-23.htm?chinhanh=1 HTTP/1.1" 200 26292
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:48 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:49 +0700] "GET /DoAnWebCinema/datve/2024-12-23.htm?chinhanh=1 HTTP/1.1" 200 26292
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:53 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:55 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:55 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:55 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:05:55 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:06:33 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:06:33 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:06:33 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:30 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:31 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:31 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:31 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:31 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:47 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:47 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:47 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/css/font-awesome.min.css HTTP/1.1" 200 36899
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/css/bootstrap.min.css HTTP/1.1" 200 203218
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/css/chatbot.css HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/css/all.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/css/global.css HTTP/1.1" 200 10757
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/css/index.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:50 +0700] "GET /DoAnWebCinema/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/postertitanic.jfif HTTP/1.1" 200 21402
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterquyantang.jpg HTTP/1.1" 200 100665
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterdanchoikhongsoconroi.jpg HTTP/1.1" 200 398614
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterconan.jfif HTTP/1.1" 200 109753
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jfif HTTP/1.1" 200 14279
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterdoraemon.jpg HTTP/1.1" 200 107861
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/postermatbiec.jpg HTTP/1.1" 200 42314
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterditruyen.jpg HTTP/1.1" 200 120803
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/eventsale20%25.png HTTP/1.1" 200 254446
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/eventmangphimlenvungcao.png HTTP/1.1" 200 888898
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/posterdocchieudu.png HTTP/1.1" 200 3250156
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 200 19847
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/uploads/posterlatmat7.jpg HTTP/1.1" 200 96889
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/icon-facebook.png HTTP/1.1" 200 5932
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/icon-instagram.png HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/icon-tiktok.png HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/icon-youtube.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/icon-bocongthuong.png HTTP/1.1" 200 50332
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/chatboxicon.gif HTTP/1.1" 200 729560
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:07:51 +0700] "GET /DoAnWebCinema/images/logocinema.png HTTP/1.1" 200 120653
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:04 +0700] "GET /DoAnWebCinema/datve/2024-12-21.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:04 +0700] "GET /DoAnWebCinema/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:05 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:05 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:05 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:46 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:47 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:47 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:55 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:55 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:55 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:56 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:08:56 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:09:33 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:09:33 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:09:33 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:11:55 +0700] "GET /DoAnWebCinema/datve/2024-12-21.htm?chinhanh=1 HTTP/1.1" 200 22484
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:11:55 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:11:57 +0700] "GET /DoAnWebCinema/datve/2024-12-22.htm?chinhanh=1 HTTP/1.1" 200 35474
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:36 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:36 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:36 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:37 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:38 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:38 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:38 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:38 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:12:38 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:13 +0700] "GET /DoAnWebCinema/customer/payment/65.htm HTTP/1.1" 200 42144
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:15 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:15 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:15 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:15 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:15 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:35 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:36 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:13:36 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:16:18 +0700] "GET /DoAnWebCinema/trangchu.htm HTTP/1.1" 200 82105
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:16:18 +0700] "GET /DoAnWebCinema/vungocdang.webp HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:16:18 +0700] "GET /DoAnWebCinema/tranthanh.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:16:18 +0700] "GET /DoAnWebCinema/img/30.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Dec/2024:12:16:18 +0700] "GET /DoAnWebCinema/img/3.jpg HTTP/1.1" 404 782
